perc_change,high_perc,low_perc,age,liq,mcap,vol,m5,h1,h6,h24,watch_start_time,watch_end_time,watch_id
-40.98,6.01,-47.23,60,44000.00,138000.00,1600000.00,4.94,44.92,112.00,112.00,2025-07-16 09:49:52,2025-07-16 09:59:53,080e4fec-4a1c-4364-95b9-5f22bf1788d1
-10.32,5.26,-10.32,300,42000.00,145000.00,327000.00,7.12,28.60,113.00,113.00,2025-07-16 10:01:29,2025-07-16 10:11:29,c721716d-57a5-415c-93e5-5ded505b3556
-6.60,0.00,-6.60,43200,48000.00,125000.00,177000.00,-3.16,14.77,72.23,49.97,2025-07-16 10:13:07,2025-07-16 10:23:07,9e63f0c0-1d6c-42f2-8d21-f952397a1850
-3.00,6.29,-4.90,86400,349000.00,3700000.00,1100000.00,-3.85,55.87,61.19,127.00,2025-07-16 10:25:51,2025-07-16 10:35:51,60436aee-f9ff-44a7-8137-8e7583641733
-15.94,4.37,-19.92,1440,79000.00,465000.00,805000.00,-1.07,144.00,467.00,1260.00,2025-07-16 10:37:26,2025-07-16 10:47:27,f73ff744-df4c-433d-87db-1d5b2881ec51
15.77,18.45,-4.13,1440,73000.00,396000.00,843000.00,-1.74,60.35,341.00,1060.00,2025-07-16 10:49:00,2025-07-16 10:59:01,2ecb2d61-0ed0-40f5-a021-c8e60b7639f6
-27.71,0.03,-27.79,60,66000.00,339000.00,991000.00,46.87,106.00,393.00,393.00,2025-07-16 11:00:35,2025-07-16 11:10:36,61f3cb25-a4a2-4806-84ca-df90ea8cd79a
5.85,27.38,-7.80,180,44000.00,163000.00,435000.00,26.79,548.00,138.00,138.00,2025-07-16 11:12:10,2025-07-16 11:22:10,05d421e0-b332-41ec-852d-a679b40073e7
-8.56,12.07,-13.03,120,66000.00,344000.00,1000000.00,-4.34,83.61,400.00,400.00,2025-07-16 11:23:44,2025-07-16 11:33:45,6dbe2fdd-16bd-4cf1-a2f4-1941321052f3
33.15,35.81,-2.21,60,51000.00,203000.00,546000.00,13.48,59.24,197.00,197.00,2025-07-16 11:35:20,2025-07-16 11:45:21,f5db62bd-ad3d-409c-8864-5fd4f061ab98
8.23,8.23,-30.82,60,56000.00,248000.00,651000.00,-1.88,48.21,261.00,261.00,2025-07-16 11:46:59,2025-07-16 11:56:59,2a72f95f-00ff-460b-a651-93dfd181265d
10.23,10.23,-20.78,240,51000.00,194000.00,1700000.00,-4.05,15.75,172.00,172.00,2025-07-16 11:58:37,2025-07-16 12:08:38,3b8e46b0-dae0-4f1f-a0db-f5c87b599c4a
40.57,50.23,-24.12,32,60000.00,300000.00,323000.00,8.47,312.00,312.00,312.00,2025-07-16 12:10:10,2025-07-16 12:20:10,dec22174-fb69-47b4-8a67-cab7bc70a43b
34.31,34.31,-15.13,300,56000.00,226000.00,1700000.00,-1.35,114.00,217.00,217.00,2025-07-16 12:21:45,2025-07-16 12:31:45,12381487-5aba-47c3-b820-05cfd68d197c
-1.11,0.04,-7.72,55,56000.00,257000.00,380000.00,0.13,253.00,253.00,253.00,2025-07-16 12:33:20,2025-07-16 12:43:20,6c196845-8b51-43e6-a1e9-59a51ff93a73
-1.20,0.00,-1.24,86400,324000.00,3000000.00,1200000.00,0.66,3.70,57.45,64.33,2025-07-16 13:00:51,2025-07-16 13:10:52,32dcdd34-77f5-40bc-a210-64d779eb15ec
13.68,42.47,-27.33,16,58000.00,264000.00,497000.00,21.41,408.00,408.00,408.00,2025-07-16 13:18:19,2025-07-16 13:28:19,584a421d-e66a-4b7c-b020-599025536d92
-47.63,3.39,-47.63,27,66000.00,338000.00,678000.00,18.93,550.00,550.00,550.00,2025-07-16 13:29:51,2025-07-16 13:39:51,8472d3a0-9adc-48f3-90f1-cf5652226fc4
24.39,191.53,0.00,1440,149000.00,1300000.00,2300000.00,5200.00,5925.00,2396.00,6686.00,2025-07-16 13:41:25,2025-07-16 13:51:25,90efc046-4236-4376-a767-32ea1f4d7905
4.56,4.56,0.00,86400,114000.00,515000.00,500000.00,-7.32,12.03,95.06,108.00,2025-07-16 13:56:00,2025-07-16 14:06:01,ed837a84-1614-4da1-8238-89c681ff9bc1
-13.70,12.40,-33.64,2880,135000.00,964000.00,8000000.00,22.47,4159.00,2438.00,4708.00,2025-07-16 14:08:44,2025-07-16 14:18:44,2265b1a4-2edf-4639-ac07-55bf5dc55403
-44.37,0.00,-67.06,22,117000.00,891000.00,5000000.00,43.98,901.00,901.00,901.00,2025-07-16 14:20:17,2025-07-16 14:30:18,24e7796c-2d58-451c-b747-8983c103c437
-8.76,11.99,-22.90,34,91000.00,509000.00,6000000.00,44.98,472.00,472.00,472.00,2025-07-16 14:31:52,2025-07-16 14:41:53,060ee017-adc3-484f-8e1e-84a5da1ac072
5.25,5.25,0.00,86400,118000.00,545000.00,513000.00,-9.23,-3.53,126.00,125.00,2025-07-16 14:43:26,2025-07-16 14:53:27,dc273ea8-40a4-40cd-9328-670103dc0d31
-36.46,14.93,-52.79,60,36000.00,102000.00,279000.00,10.15,97.89,44.42,44.42,2025-07-16 14:55:00,2025-07-16 15:05:01,cc3110d1-a803-4e41-8e82-19c341f66395
24.14,28.71,-7.39,39,82000.00,535000.00,735000.00,-1.38,540.00,540.00,540.00,2025-07-16 15:09:31,2025-07-16 15:19:31,fb0572a2-92cd-4e9b-845f-106edce701b2
23.31,37.98,-4.95,51,87000.00,598000.00,1000000.00,2.55,616.00,616.00,616.00,2025-07-16 15:21:03,2025-07-16 15:31:04,887ebc4f-1d29-4d4b-92cc-f0beefa59712
-20.08,2.73,-43.21,60,63000.00,295000.00,1200000.00,42.93,128.00,282.00,282.00,2025-07-16 15:32:36,2025-07-16 15:42:36,e93c5b7c-c294-4820-9c22-09b9ad6a1312
-41.82,9.61,-47.16,60,63000.00,286000.00,1400000.00,2.47,110.00,271.00,271.00,2025-07-16 15:45:07,2025-07-16 15:55:08,dfe23674-0357-42cc-abf5-462c920c379a
-12.31,1.16,-12.31,1440,135000.00,1200000.00,5100000.00,-1.91,10.55,85.44,118.00,2025-07-16 15:56:44,2025-07-16 16:06:45,18149246-72e7-416b-8384-5027e1a2a2ef
3.85,11.16,-1.73,120,40000.00,127000.00,477000.00,1.25,53.73,78.62,78.62,2025-07-16 16:08:18,2025-07-16 16:18:19,3a3cc12e-f092-4a1f-b13f-2b9684978b88
25.29,54.46,0.00,240,35000.00,91000.00,1100000.00,4.38,29.92,32.95,32.95,2025-07-16 16:22:51,2025-07-16 16:32:52,5ee727fb-2fe1-472d-9764-f4a34c6c43f7
29.42,47.43,-21.07,960,92000.00,587000.00,1600000.00,357.00,5683.00,2590.00,722.00,2025-07-16 16:34:25,2025-07-16 16:44:25,e63f7005-3028-4608-b295-beb80ad7a1b9
-37.45,0.00,-49.32,960,98000.00,639000.00,2200000.00,-2.23,5886.00,2871.00,794.00,2025-07-16 16:45:58,2025-07-16 16:55:58,d9ef818b-1ef8-442b-bf68-bdcad272be5d
-14.79,0.00,-14.79,25920,121000.00,658000.00,429000.00,9.42,6.76,283.00,366.00,2025-07-16 16:57:35,2025-07-16 17:07:36,9e782055-5259-41ab-b0f5-97f20f2921f3
-2.30,4.16,-2.33,180,210000.00,2700000.00,2800000.00,-7.46,-0.25,1540.00,1540.00,2025-07-16 17:09:10,2025-07-16 17:19:11,b883442f-69d8-484b-83d4-fcb756ff8ca0
-4.38,0.00,-5.36,1440,112000.00,925000.00,1500000.00,-2.77,5.42,186.00,113.00,2025-07-16 17:20:49,2025-07-16 17:30:49,a0f52b09-10d9-47f4-ac41-062bddbd49fb
0.11,11.55,-8.39,60,47000.00,172000.00,490000.00,10.86,110.00,139.00,139.00,2025-07-16 17:33:26,2025-07-16 17:43:26,5a3811ea-1dd8-43bd-b175-3bc2f44ca6a6
-16.41,3.60,-25.03,60,50000.00,192000.00,611000.00,4.96,130.00,168.00,168.00,2025-07-16 17:44:59,2025-07-16 17:54:59,1db91a2a-1469-41b2-9ebc-11f002f94674
-0.54,0.65,-2.39,240,209000.00,2700000.00,2800000.00,-3.58,0.90,1519.00,1519.00,2025-07-16 17:56:32,2025-07-16 18:06:33,42d5fcb6-c16d-4a24-af79-1e7181ce76fa
84.21,137.03,0.00,17,74000.00,417000.00,950000.00,4.97,479.00,479.00,479.00,2025-07-16 18:08:06,2025-07-16 18:18:06,6dd436ce-546f-417c-8de9-92502b815b23
30.81,65.65,-17.71,28,103000.00,788000.00,1600000.00,6.05,993.00,993.00,993.00,2025-07-16 18:19:39,2025-07-16 18:29:39,80332044-7c3e-44e5-87dd-3e059c13bbe3
-12.27,0.11,-12.27,25920,109000.00,528000.00,596000.00,12.15,9.93,183.00,289.00,2025-07-16 18:31:13,2025-07-16 18:41:13,a872b2f8-29f7-4852-bd42-9f113cde2944
-39.47,6.39,-51.43,11,96000.00,696000.00,1200000.00,95.77,859.00,859.00,859.00,2025-07-16 18:42:47,2025-07-16 18:52:47,ee988a25-d6d1-4915-a297-cadc309d3df7
-53.06,0.00,-66.62,22,73000.00,377000.00,2100000.00,1.20,421.00,421.00,421.00,2025-07-16 18:54:21,2025-07-16 19:04:21,deb820fa-630a-4d09-98ec-ea9b05903595
11.52,29.67,-15.74,1440,134000.00,1300000.00,1600000.00,13.23,76.35,158.00,312.00,2025-07-16 19:05:55,2025-07-16 19:15:56,196726bd-9a4a-4db3-9836-729d68cf3f44
-17.20,57.59,-17.20,35,44000.00,136000.00,1700000.00,32.98,89.46,89.46,89.46,2025-07-16 19:20:23,2025-07-16 19:30:24,d5b68c20-6683-4809-affb-de4f0cd66ca6
-45.47,12.57,-48.96,48,46000.00,150000.00,1900000.00,-8.43,109.00,109.00,109.00,2025-07-16 19:33:07,2025-07-16 19:43:08,c4bb2bd8-d38b-425a-ad1c-47db7afa3247
6.38,7.75,0.00,54,147000.00,2900000.00,399000.00,5.33,96.73,96.73,96.73,2025-07-16 19:44:42,2025-07-16 19:54:42,1ceb9a9b-131a-4b98-b9de-b6f70ac10c60
2.72,5.21,-2.69,60,147000.00,2900000.00,467000.00,2.64,101.00,98.72,98.72,2025-07-16 19:56:16,2025-07-16 20:06:16,cc8b504c-7b8e-4e6e-9882-325020f3f73f
23.51,23.73,-13.89,60,50000.00,204000.00,315000.00,21.92,42.03,181.00,181.00,2025-07-16 20:07:49,2025-07-16 20:17:50,5ac57d74-bcd8-4216-94a1-06d2411ad6cb
-22.62,0.00,-23.20,180,75000.00,456000.00,252000.00,5.50,-3.11,512.00,512.00,2025-07-16 20:19:24,2025-07-16 20:29:24,a64f3bdf-36ba-4eca-a299-cf8c4817454f
-8.10,24.15,-8.10,360,42000.00,132000.00,2400000.00,-7.79,52.22,532.00,83.90,2025-07-16 20:30:58,2025-07-16 20:40:58,a87f4692-d7cb-4f03-91a0-934c1d17e88c
-9.87,0.00,-9.87,180,64000.00,327000.00,264000.00,0.20,-5.67,338.00,338.00,2025-07-16 20:42:32,2025-07-16 20:52:32,422ed107-fa7f-4f33-ac0a-06cdb39821d6
-21.26,3.77,-21.66,360,38000.00,104000.00,2500000.00,-2.98,-3.55,502.00,45.05,2025-07-16 20:54:05,2025-07-16 21:04:06,0f67c1d5-feb0-4ccd-9425-b5b88baa9ec0
-0.35,0.23,-6.48,43200,204000.00,3400000.00,1000000.00,2.15,17.38,154.00,102.00,2025-07-16 21:05:39,2025-07-16 21:15:40,f45ba6f9-e597-4fed-b962-625c155972ae
-8.70,5.86,-10.82,120,57000.00,260000.00,439000.00,20.46,29.66,258.00,258.00,2025-07-16 21:17:14,2025-07-16 21:27:15,c29395f0-f2cf-4731-8b8c-c2322eca9970
-4.45,8.40,-4.45,240,47000.00,172000.00,817000.00,-6.19,-5.31,139.00,139.00,2025-07-16 21:28:52,2025-07-16 21:38:53,307d1ba7-2891-47a8-bd1c-0b31c1af275e
-4.39,0.00,-7.08,120,83000.00,566000.00,355000.00,-0.64,8.94,690.00,690.00,2025-07-16 21:40:26,2025-07-16 21:50:26,b7b6b4f5-438e-4780-a00f-0d17c27ffaaf
4.65,23.54,-12.40,240,48000.00,184000.00,853000.00,4.91,37.52,140.00,140.00,2025-07-16 21:53:09,2025-07-16 22:03:10,7f99f0b1-3e0c-4e53-ac0e-336790a23888
15.84,21.43,0.00,240,43000.00,148000.00,825000.00,0.61,-9.21,105.00,105.00,2025-07-16 22:06:17,2025-07-16 22:16:18,22559332-deca-4abf-bc31-d2efdb2e1f4c
12.19,12.92,-2.57,1440,177000.00,2100000.00,2800000.00,-1.11,-4.36,91.73,60.12,2025-07-16 22:17:54,2025-07-16 22:27:55,a03a867b-b943-410f-ab4d-103fe7992588
-3.81,8.55,-7.38,900,150000.00,1200000.00,3200000.00,5.22,34.91,117.00,27.04,2025-07-16 22:29:29,2025-07-16 22:39:30,188d75d8-2b18-4b7c-b65a-a243848764f2
-0.56,0.00,-5.80,360,38000.00,124000.00,329000.00,3.26,17.34,89.54,61.56,2025-07-16 22:41:03,2025-07-16 22:51:04,30b15e2c-cb7b-40c4-bbf9-e2d1301ecf46
3.03,3.03,0.00,180,78000.00,501000.00,390000.00,-1.41,-3.87,599.00,599.00,2025-07-16 22:52:38,2025-07-16 23:02:38,e41f1bc3-f9ed-4931-bd4a-93ab958622d9
-11.84,3.33,-11.84,900,167000.00,1500000.00,3400000.00,5.52,71.58,115.00,56.75,2025-07-16 23:04:11,2025-07-16 23:14:12,efad915a-e62f-4678-8f89-e9e97d03060b
0.48,3.73,-1.28,2880,113000.00,629000.00,2500000.00,-1.98,45.56,76.43,46.29,2025-07-16 23:15:49,2025-07-16 23:25:50,b9bd3012-2883-46d9-ab94-bd31cc42f810
-43.24,5.90,-51.23,17,41000.00,135000.00,586000.00,-8.41,92.33,92.33,92.33,2025-07-16 23:38:41,2025-07-16 23:48:42,84e1a174-97c9-4127-b750-e19acc851172
-7.86,0.60,-8.22,2880,113000.00,626000.00,2500000.00,13.88,1.02,92.44,26.46,2025-07-16 23:50:16,2025-07-17 00:00:16,b580b77a-b88d-4468-92c0-7958503df440
-3.39,4.90,-3.39,7200,135000.00,1100000.00,826000.00,4.98,14.19,72.42,59.08,2025-07-17 00:01:49,2025-07-17 00:11:50,37108934-062b-454e-b905-28a7f935fbc8
-20.20,12.38,-23.69,40,50000.00,188000.00,949000.00,68.78,146.00,146.00,146.00,2025-07-17 00:13:22,2025-07-17 00:23:22,9d10cc32-a7c6-4a80-81ae-27d45b739734
-14.97,13.38,-15.72,52,44000.00,144000.00,1200000.00,-9.58,88.66,88.66,88.66,2025-07-17 00:25:00,2025-07-17 00:35:00,a1682503-4a51-4c53-ac58-5f3f16e018f4
6.87,66.09,-10.85,60,51000.00,211000.00,326000.00,98.51,428.00,200.00,200.00,2025-07-17 00:36:34,2025-07-17 00:46:34,da43d242-4241-4c11-bac9-c7cb94864fca
4.64,55.73,-6.18,60,48000.00,185000.00,554000.00,11.41,337.00,162.00,162.00,2025-07-17 00:48:08,2025-07-17 00:58:08,e58eafc9-455a-472a-a3f8-efe82552329a
15.51,32.57,-12.40,180,50000.00,205000.00,247000.00,147.00,935.00,174.00,174.00,2025-07-17 00:59:42,2025-07-17 01:09:42,18287df0-2f6d-410d-ac71-74104959cf04
-1.15,14.29,-5.69,180,48000.00,192000.00,316000.00,-5.97,897.00,156.00,156.00,2025-07-17 01:12:24,2025-07-17 01:22:25,c70f1f54-6939-461d-8eef-7fda9b920390
0.94,5.55,-2.01,2880,596000.00,14800000.00,25600000.00,6.09,-6.36,57.36,518.00,2025-07-17 01:25:25,2025-07-17 01:35:25,b06a1175-3e31-4662-8869-d0e2736523fc
-17.95,5.39,-28.69,240,128000.00,1000000.00,4700000.00,-3.06,493.00,1495.00,1495.00,2025-07-17 01:36:58,2025-07-17 01:46:59,7ca1e615-6997-4aa0-8ff8-349bc709d676
1.01,12.49,-9.13,240,111000.00,811000.00,4900000.00,4.93,93.74,1083.00,1083.00,2025-07-17 01:48:32,2025-07-17 01:58:32,1427b5f6-fdb5-4b04-9d19-a70e9a2f890e
-6.23,51.84,-6.23,24,51000.00,209000.00,244000.00,21.50,220.00,220.00,220.00,2025-07-17 02:00:05,2025-07-17 02:10:05,12845db4-e756-4ca0-84e5-6e26862efc55
-17.08,10.96,-34.16,60,45000.00,158000.00,528000.00,18.78,398.00,124.00,124.00,2025-07-17 02:11:39,2025-07-17 02:21:40,7f50ccb9-2ff0-4a0c-8e7d-3f90f297cf55
-13.34,20.27,-14.28,48,49000.00,192000.00,386000.00,14.77,195.00,195.00,195.00,2025-07-17 02:23:12,2025-07-17 02:33:13,27738390-4f5f-4b64-ba33-83907bed3d5f
107.51,156.30,-11.03,780,91000.00,551000.00,2800000.00,93.56,4122.00,4970.00,678.00,2025-07-17 02:34:47,2025-07-17 02:44:47,9f09ac21-c8f0-44f6-be59-5b8dde0bcc51
56.37,89.11,-15.97,780,131000.00,1000000.00,3600000.00,33.01,6992.00,9949.00,1448.00,2025-07-17 02:46:20,2025-07-17 02:56:21,5d818ec5-cadc-4b46-a127-6c7fd94b0bd8
-9.68,14.63,-17.39,60,61000.00,228000.00,3500000.00,24.87,66.52,223.00,223.00,2025-07-17 02:58:00,2025-07-17 03:08:01,7205c9aa-ac39-415b-9915-3be73d5220f7
-9.42,4.59,-15.15,60,59000.00,204000.00,4200000.00,2.58,79.25,188.00,188.00,2025-07-17 03:12:20,2025-07-17 03:22:20,d23a06ee-4caf-4394-9fda-11a28fb7760e
-2.87,6.32,-3.94,25920,367000.00,4100000.00,3300000.00,-4.66,-2.04,35.69,20.06,2025-07-17 03:23:54,2025-07-17 03:33:54,00d368ba-08cb-4753-affa-7b9ed137bad7
19.29,28.03,-0.14,1260,516000.00,13700000.00,27900000.00,-6.52,77271.00,80489.00,18670.00,2025-07-17 03:35:28,2025-07-17 03:45:29,c21df87b-6841-430b-ace5-bff54bbe156e
13.52,14.48,-1.91,1320,566000.00,15500000.00,33500000.00,1.62,87138.00,96095.00,21038.00,2025-07-17 03:47:01,2025-07-17 03:57:02,d80dc01e-d8d7-457d-961d-e4db98ff4aef
-18.86,8.15,-31.85,1320,58000.00,234000.00,1400000.00,13.53,3718.00,2868.00,206.00,2025-07-17 03:58:35,2025-07-17 04:08:35,a1571b81-6311-4601-a431-57e3414dfdef
43.89,63.02,-14.16,1320,49000.00,171000.00,1500000.00,0.89,1945.00,2091.00,125.00,2025-07-17 04:10:09,2025-07-17 04:20:09,cccb40b1-d48d-45e5-913c-8b85365dc241
-10.56,0.00,-28.75,53,61000.00,284000.00,647000.00,-1.37,312.00,312.00,312.00,2025-07-17 04:21:43,2025-07-17 04:31:43,12f26142-bf25-4567-88ba-e990926ce55f
5.91,12.75,-7.25,60,58000.00,260000.00,772000.00,20.22,294.00,278.00,278.00,2025-07-17 04:33:17,2025-07-17 04:43:18,8e4dff57-07ee-4a80-832c-903f21cc90b8
-51.30,16.25,-61.34,60,190000.00,2200000.00,6900000.00,97.99,383.00,2532.00,2532.00,2025-07-17 04:44:50,2025-07-17 04:54:51,77033166-7575-4a19-a2e0-dd2b42de0bef
-28.19,0.00,-48.09,60,81000.00,463000.00,2000000.00,5.39,144.00,507.00,507.00,2025-07-17 04:56:25,2025-07-17 05:06:26,55ae646e-e2b1-43d2-8563-00d9ceedf101
36.84,44.78,-11.90,60,63000.00,277000.00,2200000.00,-5.26,0.49,264.00,264.00,2025-07-17 05:07:59,2025-07-17 05:18:00,880d5d88-5a8e-4857-9e2d-f95dd22e92f8
71.84,80.28,-7.08,120,162000.00,1500000.00,9000000.00,28.85,264.00,1752.00,1752.00,2025-07-17 05:19:33,2025-07-17 05:29:34,e5ebb621-1e36-4212-b7e1-024989a80088
4.14,4.15,-1.67,60,97000.00,755000.00,378000.00,-0.49,62.78,889.00,889.00,2025-07-17 05:32:17,2025-07-17 05:42:17,ea3cd7d5-aacb-4f1b-bad6-4d08bfd105e6
29.54,35.52,-0.08,60,99000.00,785000.00,390000.00,3.22,-7.62,929.00,929.00,2025-07-17 05:43:50,2025-07-17 05:53:51,9e3abc6c-7db0-4e11-b2b3-a5105256fe3f
-16.62,18.54,-27.88,120,94000.00,510000.00,4100000.00,19.76,194.00,576.00,576.00,2025-07-17 05:55:25,2025-07-17 06:05:26,f325a0e4-4d5d-4a35-bf24-f4f1700b71c7
-20.79,10.31,-29.47,120,90000.00,471000.00,4400000.00,10.86,244.00,524.00,524.00,2025-07-17 06:07:00,2025-07-17 06:17:00,72f54cc8-f092-43cc-b814-296242637b7a
12.25,55.66,0.00,120,55000.00,212000.00,1900000.00,38.18,3.23,196.00,196.00,2025-07-17 06:18:36,2025-07-17 06:28:36,0c70c2fc-0a83-4c83-a6b0-98e7cc408da0
43.01,47.80,-4.54,60,88000.00,536000.00,3100000.00,31.09,24.76,603.00,603.00,2025-07-17 06:30:09,2025-07-17 06:40:09,1eae4ec7-e09c-445c-ae33-56fd055caaee
-19.56,9.84,-23.14,120,103000.00,726000.00,3300000.00,21.00,121.00,852.00,852.00,2025-07-17 06:41:43,2025-07-17 06:51:44,4453d467-3e43-4558-b9c3-a1366e5a6559
5.57,5.57,-4.90,180,992000.00,16300000.00,4900000.00,-1.00,19.45,122.00,122.00,2025-07-17 06:53:17,2025-07-17 07:03:18,c00743e8-04ce-40b4-8c96-c2ba798a898d
-20.48,11.98,-20.48,42,187000.00,2500000.00,4600000.00,4.49,3394.00,3394.00,3394.00,2025-07-17 07:04:51,2025-07-17 07:14:51,e80195db-aec2-4eba-aac2-c9044e04ba10
